Days,cases,Afganistan,Albania,Algeria,Andorra,Angola ,Angulia,Antigua,Argentina,Armenia,Aruba,Australia,Austria,Azerbajian,Bahamas
1,27,0,,0,,,,,,0,,0,0,0,
2,27,0,,0,,,,,,0,,0,0,0,
3,27,0,,0,,,,,,0,,0,0,0,
4,44,0,,0,,,,,,0,,0,0,0,
5,44,0,,0,,,,,,0,,0,0,0,
6,59,0,,0,,,,,,0,,0,0,0,
7,59,0,,0,,,,,,0,,0,0,0,
8,59,0,,0,,,,,,0,,0,0,0,
9,59,0,,0,,,,,,0,,0,0,0,
10,59,0,,0,,,,,,0,,0,0,0,
11,59,0,,0,,,,,,0,,0,0,0,
12,59,0,,0,,,,,,0,,0,0,0,
13,59,0,,0,,,,,,0,,0,0,0,
14,60,0,,0,,,,,,0,,0,0,0,
15,60,0,,0,,,,,,0,,0,0,0,
16,61,0,,0,,,,,,0,,0,0,0,
17,61,0,,0,,,,,,0,,0,0,0,
18,66,0,,0,,,,,,0,,0,0,0,
19,83,0,,0,,,,,,0,,0,0,0,
20,219,0,,0,,,,,,0,,0,0,0,
21,239,0,,0,,,,,,0,,0,0,0,
22,392,0,,0,,,,,,0,,0,0,0,
23,534,0,,0,,,,,,0,,0,0,0,
24,631,0,,0,,,,,,0,,0,0,0,
25,897,0,,0,,,,,,0,,0,0,0,
26,1350,0,,0,,,,,,0,,1,0,0,
27,2023,0,,0,,,,,,0,,4,0,0,
28,2820,0,,0,,,,,,0,,4,0,0,
29,4587,0,,0,,,,,,0,,4,0,0,
30,6067,0,,0,,,,,,0,,4,0,0,
31,7823,0,,0,,,,,,0,,6,0,0,
32,9824,0,,0,,,,,,0,,7,0,0,
33,11946,0,,0,,,,,,0,,9,0,0,
34,14554,0,,0,,,,,,0,,11,0,0,
35,17372,0,,0,,,,,,0,,11,0,0,
36,20615,0,,0,,,,,,0,,11,0,0,
37,24523,0,,0,,,,,,0,,12,0,0,
38,28274,0,,0,,,,,,0,,13,0,0,
39,31492,0,,0,,,,,,0,,14,0,0,
40,34934,0,,0,,,,,,0,,14,0,0,
41,37552,0,,0,,,,,,0,,14,0,0,
42,40544,0,,0,,,,,,0,,14,0,0,
43,43106,0,,0,,,,,,0,,14,0,0,
44,45178,0,,0,,,,,,0,,14,0,0,
45,60329,0,,0,,,,,,0,,14,0,0,
46,64544,0,,0,,,,,,0,,15,0,0,
47,67104,0,,0,,,,,,0,,15,0,0,
48,69266,0,,0,,,,,,0,,15,0,0,
49,71333,0,,0,,,,,,0,,15,0,0,
50,73328,0,,0,,,,,,0,,15,0,0,
51,75192,0,,0,,,,,,0,,15,0,0,
52,75724,0,,0,,,,,,0,,15,0,0,
53,76720,0,,0,,,,,,0,,17,0,0,
54,77850,0,,0,,,,,,0,,21,0,0,
55,78814,0,,0,,,,,,0,,22,0,0,
56,79337,0,,0,,,,,,0,,22,0,0,
57,80130,1,,0,,,,,,0,,22,0,0,
58,80997,1,,1,,,,,,0,,22,2,0,
59,82111,1,,1,,,,,,0,,23,2,0,
60,83381,1,,1,,,,,,0,,23,5,0,
61,85237,1,,1,,,,,,0,,25,7,1,
62,87061,1,,3,,,,,,1,,26,10,1,
63,89147,1,,3,,,,,,1,,29,14,3,
64,91001,,,,1,,,,,,,33,18,,
65,93310,,,5,,,,,1,,,41,24,,
66,95646,,,12,,,,,,,,52,,,
67,98705,,,17,,,,,2,,,,,,
68,102842,,,,,,,,8,,,,,,
69,106812,4,,,,,,,9,,,,,,
70,110984,,2,20,,,,,12,,,,,,
71,115746,,6,,,,,,,,,,,,
72,120832,7,10,,,,,,19,,,,,,
73,128670,,11,20,,,,,,4,,,,,
74,138128,,23,25,,,,,31,6,2,,,,
75,148544,,33,26,2,,,,34,13,,197,,,
